Cleaning_Method,Surface_Roughness_nm,Defect_Density_per_cm2,Etch_Rate_nm_per_min,Interface_Trap_Density_cm2_eV,Fixed_Oxide_Charge_C_per_cm2,Minority_Carrier_Lifetime_us,PN_Junction_Leakage_A_per_cm2,Gate_Oxide_Breakdown_MV_per_cm,Pit_Density_per_cm2,Damage_Prob,Pass_Fail
Piranha,1.086398242356111,849296.9956749819,7.588806648366639,702307912889.6793,8.035351656320825e-06,20.602072957552142,1.0581654622508465e-08,8.048432218148944,1008.7604785362247,0.7828183686595661,Fail
HF Dip,0.38353252605255805,163248.41783982518,1.9910588603706236,122019933295.39334,4.057458057784792e-06,36.21408795362945,1.3206230574311545e-09,12.475199146371834,291.39635486363255,0.21805493035513843,Pass
Piranha,1.105984681452802,658219.3503384253,13.35992727613501,398322234619.82623,4.9245356403253425e-06,14.720121737948942,1.7266182692697432e-08,5.7879929805012535,605.440462403292,0.5438761084055518,Fail
RCA-1,0.7207792566252299,360728.7466179808,10.99633499253266,214561571620.21448,3.5654310454669808e-06,23.302786078648854,8.120084707713456e-09,10.635350570770562,360.35606365339197,0.38018776061868587,Pass
RCA-1,1.0180550225942266,215899.45983944606,8.302390590844139,166916748901.4303,3.2941760880446905e-06,18.903688703389466,6.350225622079553e-09,10.148293874066393,486.8016983102544,0.43284670013756227,Pass
Piranha,1.6832136727478983,776935.3925496686,13.310391103089529,430123165175.61743,6.488065284240234e-06,11.393762234153247,1.4192524244750093e-08,6.2928204733789865,1174.3450279437727,0.8539392162832264,Fail
HF Dip,0.4857353348651015,220455.64384608716,2.3440502949368804,145113106053.2494,3.5085586778531533e-06,56.44196007965244,7.621143521298742e-10,11.303267915972656,274.2152202693986,0.20967823077890466,Pass
Piranha,1.1314779673416577,738556.7012648681,7.688880227653345,506485708341.55896,7.16259030296732e-06,19.220126402097375,9.52645849140552e-09,8.45631933638279,836.0266398220863,0.7138754219852212,Fail
HF Dip,0.4275281853155282,98968.64828135028,0.6157850624435748,260659285609.023,2.30590191132331e-06,20.77215923476546,-1.9445474926254755e-11,11.517041393319534,116.27378859002535,0.1771397638492972,Pass
UV/Ozone,0.34152181188981984,79516.09090937943,0.8248938193916941,78797885615.41895,1.4907246912364243e-06,43.8352679400217,2.524300349126429e-10,12.519656366752775,-11.924514639209725,0.14720897415835948,Pass
Piranha,1.309934359783442,862744.3946482058,7.830832201419785,477214236206.7711,5.302624467676988e-06,25.13369601524349,1.819580796799662e-08,8.60264680266066,521.686405507451,0.7447082365809269,Fail
UV/Ozone,0.34702627705584305,121729.41705309782,0.665013968806965,121604264351.29504,2.0107510375305777e-06,38.43037058362178,-6.730377556993065e-11,12.202907563083233,29.054381664617708,0.15834251920525388,Pass
SC-1,1.0425049381560538,355996.73800458165,14.071988765267802,529004522999.90234,3.6302828019901823e-06,19.52652619879692,1.491457025236563e-08,8.888818445652126,841.3565213690721,0.6124264137574359,Fail
Piranha,1.156041530844546,783339.2625181682,13.864145080052424,689633326284.1256,5.470635436126125e-06,7.609798962266902,1.7225377934960014e-08,8.08225404813943,721.4854700513315,0.7161097219843979,Fail
RCA-1,0.6564756390642738,188937.61881790348,6.380872454752677,189694311711.76056,5.2272129388976515e-06,14.242302182104089,6.762514331904502e-09,9.489211770149959,71.30366545885207,0.2631451111676969,Pass
Piranha,0.8665095759598266,802667.591933446,8.645320094393663,542144983891.1074,6.945982805195019e-06,9.122238214651626,2.1857509751789712e-08,7.810652845122169,731.8170308115108,0.6916968550923076,Fail
SC-1,0.7704605911007775,553463.2589914803,14.409966129664427,297914040554.37665,5.516112520143552e-06,23.65919655253354,6.488382803966101e-09,8.364715200495446,507.2856060023637,0.4924632031685466,Pass
RCA-1,0.7483891524661875,399189.0812906815,3.2665245293973495,423114557166.3092,3.7542331477018698e-06,40.95011214643044,4.328129513626559e-09,9.177478510028166,322.66849749808136,0.33814944468975866,Pass
Piranha,1.5091583650508096,811956.101530527,9.100858710449675,688137387913.8934,7.690933892011056e-06,7.787370045989111,1.7257809448819158e-08,6.134621494626732,569.2421718915095,0.7283258821173757,Fail
RCA-1,0.6458161475742281,132860.41903512037,8.32053651805517,351422526324.45105,3.931414395111488e-06,27.864744846190018,4.5581785099840146e-09,10.204159388095347,83.88750693325612,0.2853828213327517,Pass
RCA-1,0.864721566124981,207272.17969409586,4.4121242613208205,355089153521.1666,3.914506904739376e-06,26.138047969085196,5.617737424111531e-09,9.013322987697654,137.02180823018531,0.3057222602161841,Pass
HF Dip,0.20699728208897814,272326.92207001126,1.718680547962937,126615363850.66254,3.6611938857833517e-06,45.83223349569967,9.111348348269314e-10,11.045873460473974,175.6065406960923,0.21317100336686798,Pass
RCA-1,0.8599693469952855,290429.5540551353,10.510186713532663,309944010057.47705,4.493668349686837e-06,22.289572957467836,5.291229923650536e-09,9.77312026319962,43.049756595843675,0.3321947197948953,Pass
Piranha,1.002614795623812,580509.0868533838,17.011098630535912,567738542742.0262,4.9138525726820944e-06,15.805769693672264,5.1870045898700685e-09,8.14532424122334,864.6024117249937,0.6678850385625705,Fail
SC-1,0.9603564319448964,625555.722096275,7.395081489613908,441910093408.78235,4.253041963950813e-06,17.561604949188617,9.758102408761821e-09,8.624298479279856,447.54277315395785,0.5208811270613781,Fail
Piranha,1.1789723022072487,898922.7702647261,14.018759648614738,591433667535.6713,3.157879097477823e-06,13.918801674839141,1.8670420607574916e-08,8.954420749486555,466.7792528816198,0.6644889219510581,Fail
RCA-1,0.6289199669174037,241822.95052352254,5.876850433443537,406094946863.04095,4.413691435872336e-06,31.434925625323828,5.1808413656809655e-09,10.9570228207632,508.02062258164085,0.38780736502159113,Pass
UV/Ozone,0.31650086351713086,141996.98026592832,1.2357510112965895,14214346161.874203,1.3857188987019225e-06,46.046594410538425,9.697836517328707e-10,12.538802945333611,15.351960709654513,0.08804611492990787,Pass
RCA-1,0.7194965502496142,287066.6573175528,7.860652549680034,286744763890.0936,4.599216649889327e-06,34.92209914296592,2.8897082187440746e-09,8.668987328472365,495.8563378533098,0.35959616706137876,Pass
RCA-1,0.6853709131994549,242485.94949677872,5.829334025846501,402015259377.5802,3.647170316998352e-06,29.274380661513657,1.610096154016641e-09,9.853385066443462,368.9151912343291,0.3562169081213391,Pass
RCA-1,0.43691465029390336,361825.8735268117,8.199052207104463,241579634769.13736,4.780454289916892e-06,40.93050056396354,4.474980344403162e-09,11.431601302582749,164.5928124674156,0.3264069418463889,Pass
RCA-1,0.9714844399667908,374452.2969464637,7.571238047962363,351487410495.6626,4.289665872592945e-06,36.22017327392032,1.8565363055967575e-09,9.82187405039934,424.27303891118,0.408634623674476,Pass
HF Dip,0.47714580970151965,251942.6522046149,1.9026136774827236,192716510465.86096,3.146963193845782e-06,38.96132196502183,1.1004677633539297e-09,11.156891599416056,154.82952695055883,0.23511566731475878,Pass
UV/Ozone,0.3400135854235168,189913.40513337633,0.2600992339316145,159965800486.40186,2.769352618500384e-06,38.85437037580345,-4.834713429985326e-10,12.504136981455515,77.62640915572314,0.1645444672581316,Pass
Piranha,1.0043111741254893,678960.8167360688,13.597741827131191,723145637539.8842,5.284675000399439e-06,8.745783736365336,2.147893682547896e-08,7.769196366074832,619.7970364272879,0.7217458433191573,Fail
HF Dip,0.2121658441420436,123074.97653716069,2.4500999881346073,201572966829.9703,2.915743222653137e-06,55.0351978482081,9.393959911963422e-10,11.238467223094588,170.76842775486267,0.20224356568684662,Pass
RCA-1,0.7158718502912499,188820.33934466404,8.262559647862835,330091420238.743,5.595756046889305e-06,24.7551064409924,4.354227584495272e-09,10.125810909502137,320.57871929906025,0.35769921721890013,Pass
UV/Ozone,0.4109687779473726,146497.98368231035,1.0423976541783724,207702795999.24728,2.1170329446458045e-06,59.05728897461641,-1.2765747609969798e-10,11.852831464075171,84.26908557034794,0.14978929725971954,Pass
Piranha,1.6855364997960391,796826.6688399886,14.234669356759431,333331422143.4435,6.516940949292507e-06,10.905665255285605,1.410278746132739e-08,7.131501672125613,823.2657127364596,0.782551586059605,Fail
RCA-1,0.8123684497916487,349922.9803970469,8.13393864670167,322428913941.2013,3.3916531735710047e-06,25.000787129243584,5.6876324275341225e-09,9.460036856076877,433.5050108493066,0.342724761613378,Pass
UV/Ozone,-0.007271586830954323,178292.16895362944,-0.4800059835552921,41199900638.50862,2.016947606762149e-06,42.66291320153234,-1.4374335851097306e-10,12.363707393326079,117.07874711128761,0.13925358314412228,Pass
SC-1,1.0385218854178482,457384.925916001,11.633090913689463,692515048510.671,3.699153196033474e-06,17.5339065115112,1.4752935334260179e-08,8.99069985588907,632.4651377283849,0.6364141981527547,Fail
UV/Ozone,0.253488366623548,60834.098411831306,0.4054619181486722,129430634444.80132,2.6364454080975793e-06,42.862140898284785,5.510952591209827e-10,12.178357574191578,69.27004173672775,0.1866513896364645,Pass
RCA-1,0.9106289100448796,333319.54915129166,8.100117525389404,358804570314.82465,3.6408055855026346e-06,29.769502545304924,2.60484170680619e-09,10.74193878031601,14.740339036571292,0.34365195042080615,Pass
UV/Ozone,0.2943843903332724,185806.31572523632,0.33712812615602006,68075829483.05119,2.5356946365279795e-06,63.4168273748776,8.465943417531551e-10,11.786538402974964,10.199241132446662,0.1904208548714342,Pass
Piranha,1.0873273459056303,668885.938116542,14.178636882245977,352139523790.96545,2.759142554765237e-06,13.839827414971733,2.0912456279196448e-08,4.592587526385882,349.0724719190359,0.4754678799597589,Fail
Piranha,1.6173320534828022,551789.3777012925,16.6615085320153,477491886713.02313,4.664407074823749e-06,22.868923756462003,3.1355143824755095e-08,6.575171995008136,941.2227889048876,0.7703712411138419,Fail
RCA-1,0.9419840059608603,368636.751489938,8.845970223624438,393737926324.1427,3.0375250271409844e-06,11.192025202380686,7.34011730607121e-09,9.149443166057278,317.7608628279239,0.44886643774137164,Pass
HF Dip,0.1921240335205345,244749.76753544153,0.9835404225235123,201756597895.0837,3.7552325500337714e-06,41.55045030477406,4.476947392642814e-10,10.647364792068709,124.73945096166051,0.1699197566403163,Pass
HF Dip,0.4646773959284384,173301.12373046298,2.3887452720554365,293181677769.52954,3.206775536532585e-06,33.18618953862186,5.576548683900176e-10,10.949288779911438,44.409627606006744,0.21908803878195968,Pass
HF Dip,0.6168254310480484,167034.6438288031,3.5427489354232593,198863891986.5091,3.5888354131272712e-06,39.54693801115106,-1.0211222659344994e-09,11.75195132291536,25.309730991774117,0.2425918064038436,Pass
Piranha,1.191748551113499,541249.1034020213,12.710116511609664,590985672799.0919,4.1317409708678555e-06,5.566875885126546,1.6115854158185937e-08,10.093561228861102,730.1635506517613,0.7168346323399465,Fail
Piranha,1.2724598596300225,564974.6945313999,4.829134189771195,584351600615.2585,7.126657865758428e-06,14.265435327241171,8.945969764137649e-09,8.225361810429167,536.4028233689814,0.654877614693212,Fail
SC-1,1.1163643384692885,685933.1226274506,12.176226709909946,618431613147.483,3.810463544736251e-06,28.37825061536099,1.2090850122666978e-08,8.773244422575363,655.9987650716198,0.6680797463461849,Fail
UV/Ozone,0.3704676746622525,155389.3752232448,-0.3179545629436828,32299554594.293633,1.5603604412017417e-06,31.775189791027906,5.175620340443823e-10,12.048495141833792,53.74235886680294,0.16295699450045478,Pass
UV/Ozone,0.2919641731214029,85020.7733743834,0.1544180386128243,111328764146.2587,1.7513902923086186e-06,49.373934825814885,2.884334787025341e-10,11.847783769275521,-26.5689225609727,0.08147408171747307,Pass
HF Dip,0.46362574189264727,231485.24544160656,1.9542019540457418,257430508541.24405,3.544531548908824e-06,55.7567596803745,2.116674313099733e-09,10.4296224374121,24.623499935279927,0.22637911110139866,Pass
UV/Ozone,0.4650551496871733,58054.90156954199,1.2236957532467343,96059646579.80656,1.938792753985721e-06,59.872261913150936,-6.89785727686522e-10,12.737599005384247,34.98687822048649,0.09991689955128319,Pass
SC-1,0.955123800180829,506566.47022120946,7.733520614761396,511977689148.51263,5.450610800155543e-06,15.611412224353524,6.590615132806524e-09,9.327448494873636,309.728761360664,0.5238687415774949,Fail
Piranha,1.2650506912336914,730859.6874929576,17.247092967114433,579508716524.3573,5.064832864496251e-06,22.682680045406272,1.9593035545691606e-08,8.702568773867952,1114.8827525388388,0.8079678687109226,Fail
HF Dip,0.5685351963214078,209672.8185587632,1.8615673233664904,105681982205.2749,3.5909578311326454e-06,41.48339194203788,5.215362718352085e-11,11.231947563600382,69.30788924929257,0.248925187443587,Pass
HF Dip,0.5715968134398671,144034.3504256768,1.548526996313702,149164740128.55103,2.116654785521915e-06,43.38878226149824,2.566470807185501e-09,10.51018006756826,131.84793403008374,0.23296222583112444,Pass
UV/Ozone,0.2735009380816211,162170.40913693162,0.8876309012181195,145378354689.12408,1.4978365261706348e-06,54.59900734878028,2.946713512615575e-10,12.432152286043896,37.2291380177412,0.17203327281691905,Pass
UV/Ozone,0.293209108696911,36641.740165878095,0.6969061800685525,126116358689.32643,2.482940310871553e-06,42.971534827433,1.3125168860935276e-10,12.794094656668051,13.394805087226073,0.18489023545007996,Pass
Piranha,1.4932215090051146,701401.2508730859,7.070640225687038,783446166689.6403,7.292510213974662e-06,12.656851160317212,1.335901175820196e-08,7.570368974216849,286.10179171006854,0.729420275258063,Fail
HF Dip,0.4132809566171098,252475.44508732416,1.8993415638880056,154046114016.28226,3.1783094235975175e-06,48.796901769923586,3.4984249299336437e-10,9.769855059913018,222.46523812758198,0.18613582435494005,Pass
UV/Ozone,0.18883722438270695,169049.40167664542,0.4852983644102601,198033036465.2371,2.3134541152513685e-06,49.86982213324786,7.258000751418229e-10,12.055082264239525,13.519569075612841,0.1398481943373063,Pass
Piranha,1.3485255171660147,511824.5012948145,17.16236781085728,711555551365.8663,7.774591604045768e-06,13.408681106079467,2.4893885118476312e-08,7.825064694292413,281.017113119825,0.7212700110816371,Fail
Piranha,0.988964081875855,867719.9484506513,17.337473082703326,502656721935.4356,7.32055630161704e-06,11.166053836263057,1.6076626074842927e-08,8.669524837830386,354.3433563631726,0.7371391742472114,Fail
HF Dip,0.4341401615848337,244889.8735285891,1.8063209269999176,218076050640.43307,3.638920648497919e-06,32.12524817971648,1.3412346851644191e-09,10.952855320879742,262.9396148180542,0.25639921078635486,Pass
UV/Ozone,0.13902439374844122,33526.39971396782,1.0134784314459804,85551266420.3211,1.4917908932390847e-06,55.822591641027586,2.2225276997424224e-09,12.405686133045585,13.40840357952318,0.11856463260497468,Pass
HF Dip,0.5698420373149091,237578.0187845261,2.1432835932660073,230434733654.04797,3.464259163050852e-06,46.68996037823233,1.7492102348108615e-10,11.495778908477716,171.64774808897806,0.2432804510335291,Pass
UV/Ozone,0.38432738680444667,78701.5295854623,0.0029179258330519486,88234596526.97044,1.3966829964450593e-06,51.879342507709,-4.1294666069407005e-11,11.951091889252488,14.931036659171099,0.15037316065639236,Pass
RCA-1,0.5775883464921109,259529.32545480898,8.837789706504374,275987959621.45703,4.205452682760048e-06,17.895614671122182,6.617276192912597e-09,9.872732463366836,219.12151067587746,0.34095052744177706,Pass
HF Dip,0.5812576990825341,99970.94882747732,2.311797448831403,226649488541.51468,2.4750216270478707e-06,46.446017032373966,1.2930319977866366e-09,11.006473366609976,81.19938787649961,0.21953372259406337,Pass
UV/Ozone,0.4287853762001173,107583.95855069591,-0.09841036503372802,-9963148097.515205,2.122635183451956e-06,40.40321287660248,1.1563655804446542e-09,11.576213774575029,51.36870552501573,0.1267563573928119,Pass
RCA-1,0.8294304097681423,339860.6081496517,2.9619256995248735,440915290527.2102,2.826939762684114e-06,22.42070403794244,4.1926346111974555e-09,9.598372136781713,17.149371964992806,0.2987722758428541,Pass
RCA-1,0.7779001781743569,266144.1440891703,10.267212661178112,296847673547.83374,5.535295231933693e-06,29.440218901262604,2.8971955554847254e-09,9.807461398082522,286.89120383449244,0.33092159673177834,Pass
HF Dip,0.7735930352733564,298638.1842083664,3.0882913863028816,234703192067.77512,3.072651675402202e-06,39.22949271290278,7.581108300218028e-10,10.18351971899384,153.66172514162966,0.2927145914420449,Pass
UV/Ozone,0.49281579979399015,169771.52786096712,-0.4328061704331274,138485841197.80093,2.283829278953525e-06,52.36187444962896,8.29118808595711e-10,11.933865375145151,63.986088903354535,0.19873790762531057,Pass
HF Dip,0.5189066308283783,60467.771553224025,2.8465285230095496,200567749746.71854,2.738789735700874e-06,35.57954870758703,7.179398724170658e-10,10.68775835616452,176.77529938325387,0.22685073721141585,Pass
RCA-1,0.8875981662282081,290755.5097278424,6.402410139858373,180824213405.47476,3.649507357827929e-06,15.869174334794735,3.580329121374125e-09,9.978113511622047,63.355978522931636,0.31395960170192033,Pass
HF Dip,0.37785317181980976,124116.91618093275,1.4071033561983413,241424175510.4331,3.801016943549848e-06,37.417124510903385,1.765473709467538e-09,10.024516610161584,198.09596973695642,0.23243494336034035,Pass
Piranha,1.4972090788933694,494278.91606145917,13.881736507290956,551735022382.1802,4.216654952067401e-06,12.960472003412384,2.0034872904716777e-08,5.365329026884066,554.8194299053032,0.6514298522598977,Fail
UV/Ozone,0.26291568425692735,118351.51769251552,1.1826052619759038,39508018616.101036,1.779714004116505e-06,61.202712712421324,9.01481790670548e-10,11.46556770133478,55.9908614926262,0.11655876435051797,Pass
RCA-1,0.7963904566265616,160505.81816039802,9.459220986562793,320965628373.13477,4.7757888126729894e-06,18.704757338926235,2.8252143795839113e-09,9.189447704125625,327.2005295467371,0.3773519302695063,Pass
UV/Ozone,0.3389309919649165,126351.5546505076,1.036481194735169,212876155713.31927,2.713368926058815e-06,56.99302945028674,6.72202096761848e-10,11.791820292572346,59.617457108422634,0.10614921361927357,Pass
UV/Ozone,0.38769130570417115,169435.75640124053,-0.15310421441628552,121629904243.73024,2.0871602067670535e-06,52.7658627045933,5.941289429273517e-11,11.70828077672286,107.14885832903602,0.19722027401046427,Pass
SC-1,1.1657514941047993,688043.6764992198,8.774952581712466,545073570505.3893,6.007886937559231e-06,18.08334756096019,1.4620423377699648e-08,7.388424641093959,174.61449533175312,0.6152436475000556,Fail
HF Dip,0.6225240950357976,254849.63409546585,3.376771445246507,160127455531.27295,2.7107158903714544e-06,40.68679309048195,7.901306225926956e-10,10.988668798094425,216.29956130313678,0.2646453173068856,Pass
UV/Ozone,0.5291187748661632,61021.25272399788,0.5614581221905887,53588612979.34274,1.5658800876248947e-06,41.949069195415895,-1.0672167317321944e-09,12.774394406396302,34.05914091922528,0.16984543710582473,Pass
RCA-1,0.6702738505944468,198369.46366655876,9.110554460097177,193164889456.49573,3.1568115843206084e-06,28.93025382743763,6.1694569359952836e-09,9.751192099899873,347.1629160611515,0.3466563021175019,Pass
HF Dip,0.4291624859372883,257753.62508179215,2.0805421493700225,293690379889.51953,3.126918537747479e-06,39.93911102305814,1.233888669214113e-09,10.62371731547992,107.81532811195382,0.19016650892374282,Pass
UV/Ozone,0.5290028146448849,81851.35113888956,0.41508253688900165,97691434780.63895,2.4998031238405483e-06,42.91672073071643,5.677668000563336e-10,12.343394745037402,100.11605803141488,0.19560855501414445,Pass
UV/Ozone,0.18167207255585888,42844.98533084402,1.283843310476265,153999939067.8827,1.7356522796470734e-06,44.384051287795295,9.215666344281705e-10,12.283405134272707,-1.802356906744187,0.17241964294862472,Pass
RCA-1,0.5516393729621537,270088.8625691773,8.711322044568515,375148344923.8856,4.702806067941437e-06,27.289030714044614,4.087677682582689e-10,10.52561790987893,441.0041438153356,0.3691646459495509,Pass
UV/Ozone,0.20471758967291415,118383.75619431362,0.9078140953868823,103142966569.34904,1.6488703096600047e-06,50.934476012308124,-9.917527467967398e-10,11.804881625022526,71.822156222995,0.1344983385895235,Pass
HF Dip,0.579375498054207,227056.28730075233,2.7477908951971965,59864601829.8373,3.647054164078201e-06,39.37650506645234,-4.4626345194233436e-10,12.37121065557617,104.89026411679096,0.23675021776041938,Pass
Piranha,1.406510864031723,511719.98740405665,11.572350279530163,605761656169.3254,4.922727499417492e-06,22.144024142477576,2.162267996383595e-08,9.980350685963446,427.8115414111437,0.662744489303303,Fail
HF Dip,0.4460328512971057,245494.7506612401,0.37243604439513,177156717237.2418,4.179328930621175e-06,48.54990635887728,7.123686081366282e-10,12.053944467863255,16.109570221048905,0.1904098403274538,Pass
SC-1,1.027874495899838,430727.0582873365,13.115194510754634,607820801470.2524,6.00984187655357e-06,23.364922660498564,1.1575247878757369e-08,7.420306181381484,806.778713838118,0.5985915837111219,Fail
UV/Ozone,0.363802019708254,163315.79160924483,1.3299825448312639,131939366088.10335,2.9311117158521092e-06,44.38487875551211,1.5187444617684156e-10,12.391916521008282,28.286856502056516,0.18780038267771929,Pass
RCA-1,0.7295870707086686,329239.5720257765,4.933095800608296,318092655980.4074,4.60481023056845e-06,22.72225570814691,5.25163965827545e-09,7.9134853798483915,601.1190901055995,0.3750373557557114,Pass
UV/Ozone,0.42890689082274464,164734.4815224393,-0.1866432565009929,47439011194.0121,2.327865537872884e-06,44.20434314432488,6.767878964993535e-10,12.384251085068236,62.43313661891238,0.14485559562274797,Pass
Piranha,1.0006446168140462,888864.7818899286,5.844047253156338,540476588115.4208,6.1641629204950666e-06,13.807359678084943,9.863857310207456e-09,8.21272216847969,905.122853376931,0.7259540963674448,Fail
SC-1,1.304170292031097,557926.1658006266,14.10793009064216,440451968946.5796,6.4128147984538635e-06,18.565395363141796,8.205899089873375e-09,7.653518151755735,549.2835536545115,0.6168674562545948,Fail
UV/Ozone,0.3800872121151962,103971.15442257345,0.6119693181409394,27526588025.6362,1.627991023926286e-06,52.50386285570579,-8.484373356604546e-10,11.74226194625068,123.51477617329422,0.1332919017360639,Pass
UV/Ozone,0.23381857322625382,56548.88203674252,1.397567227619311,138964197337.6407,2.3410444177363073e-06,53.49561166923262,1.440540013719522e-09,12.35415528729909,80.06850169572593,0.1540341701228236,Pass
RCA-1,0.712116285809386,332897.9315280465,6.716414522790274,353945201578.2229,3.4483176991041935e-06,25.16961532567535,4.067011983061724e-09,10.820146133505409,347.1613568139339,0.32046419944653987,Pass
Piranha,1.2526505080489025,770413.1518891877,17.994603709926245,788221594275.4536,3.838032764535301e-06,9.099480067809472,1.8255484505453973e-08,7.707325259179272,319.394308903198,0.7187672081881331,Fail
HF Dip,0.35626065411785873,355209.39278819616,2.49909317319843,309654302159.41077,3.3182213401871606e-06,33.12134392485028,2.862322829394831e-09,10.987368886877418,244.85467464904764,0.25416161507627616,Pass
RCA-1,0.5871160264299237,316262.5845989259,8.485332313981981,273321118703.16815,4.927156925770023e-06,27.44315885940545,5.582332373608317e-09,9.39260008126082,483.41631046939426,0.40985474990120746,Pass
Piranha,1.202731142679664,492370.99378105544,12.755721137670129,662811218169.1658,6.472815355492087e-06,20.039021658891315,2.10292780447599e-08,8.461698519078913,1090.2982779094484,0.7552097404481031,Fail
HF Dip,0.3631908792950249,159359.45064432465,0.46691160448160196,255837341384.86447,3.4283565490740124e-06,37.81979782320726,-4.972850496853183e-10,10.715908396041081,117.44896780162325,0.18616139840576001,Pass
UV/Ozone,0.29352648172283813,63878.6622187661,0.05444196637729026,54219577964.6391,3.1432164289855073e-06,49.07800884161392,2.7797147515068416e-10,12.113378417737339,37.12871872001849,0.11541926454887166,Pass
RCA-1,0.9432709256155912,488101.4230426035,8.657529534911903,225373933822.22412,3.849350123271448e-06,20.332872562953824,2.7497126459303235e-09,9.101641169890677,378.43538062867066,0.4273269473764861,Pass
SC-1,0.928496563292982,634176.3767329472,9.379412679759895,433219758214.79065,6.381718292000505e-06,26.759928355055163,1.0481972757406479e-08,8.467618032303205,93.69818337624098,0.5194854010510686,Pass
RCA-1,0.9570404510522754,311083.46755388327,7.912350876538216,390808642518.0638,4.5168534241405706e-06,12.975146719120067,4.944259938891914e-09,8.917611341264944,173.6643105869163,0.3795121862618794,Pass
UV/Ozone,0.3983710342286185,161933.4817674615,0.6236978771563989,137219662198.26128,2.1307035081751056e-06,59.29278905917967,-5.758491959817096e-10,12.587247480690612,48.15360695954463,0.19953260513671114,Pass
HF Dip,0.4431731218568224,81166.98101829848,2.0810138604712147,203510075438.5525,2.7710574635543792e-06,51.59762654881309,-3.8350339055664393e-10,10.920407451655546,218.588431830388,0.20328955423035538,Pass
RCA-1,0.8310419857434345,273090.8246942001,11.156540181536794,157188844203.41934,3.4937974526714506e-06,32.215292495954834,7.181159526075151e-09,10.62658771051001,175.14726231785116,0.3447806479584445,Pass
RCA-1,0.8874155855323002,171961.04138940887,4.926110515996157,214935486430.59207,4.7259985874670915e-06,34.61119197900625,7.856244345906475e-09,9.329879325473557,386.8506548800491,0.3637894876118334,Pass
SC-1,1.0619521543985195,573454.936019367,13.142926819357625,434660338519.44885,4.681842548098474e-06,10.6492141329401,6.197509845477048e-09,9.135235160802052,703.9082521750572,0.6318035039917022,Fail
UV/Ozone,0.36108447434890983,114719.83813877181,-0.0036105229492391366,84808852459.2375,2.466223870100419e-06,62.151168290933526,-5.422955392285277e-10,11.51945267047092,102.70964178581923,0.138938974145602,Pass
HF Dip,0.4922068172326265,112642.0733617022,1.6846829788877227,313730300820.28613,3.4526093915009574e-06,44.51269965867836,5.554111692391222e-10,12.47991623272389,13.206166086214957,0.2645922105307714,Pass
Piranha,1.7056685336711408,875408.8242016013,11.381049125725287,470640241554.1156,6.443662239649864e-06,16.528526165546186,2.54699617269927e-08,7.93429138317903,688.7261668305885,0.8355059622900887,Fail
Piranha,1.875400983175773,674535.5471420395,9.838353782216252,604974718461.9113,4.261892807881507e-06,8.127738290684054,2.2971762506395755e-08,6.327373820743189,1069.8596886622042,0.8358911387894125,Fail
