Cleaning_Method,Surface_Roughness_nm,Defect_Density_per_cm2,Etch_Rate_nm_per_min,Interface_Trap_Density_cm2_eV,Fixed_Oxide_Charge_C_per_cm2,Minority_Carrier_Lifetime_us,PN_Junction_Leakage_A_per_cm2,Gate_Oxide_Breakdown_MV_per_cm,Pit_Density_per_cm2
SC-1,0.7687635136356175,578119.8101709994,14.483453633474106,293001497498.6467,5.4262587307781014e-06,23.384540175151226,6.812814872238855e-09,8.602728185671202,473.42388448260886
RCA-1,0.7553313680897408,424773.18524276617,2.737983082145587,391493421186.1907,3.849554976165209e-06,39.974247744897426,4.492232836606433e-09,9.303859222921108,302.9480615513549
Piranha,1.452311132728639,785606.7484623445,9.08776912468637,700741974964.9097,7.486825174807723e-06,7.860784452993125,1.522288496501151e-08,6.319350479180523,553.9123558397425
RCA-1,0.5913210327040144,145097.61553227945,8.377557193587657,341911281906.73645,4.070737669635729e-06,27.512910626412225,5.194800332537567e-09,10.319237076512104,115.88891346399754
RCA-1,0.8589749248450093,225046.75286787483,4.0413028639819135,335630699521.63446,3.843733350521196e-06,28.378268107868102,5.43877700224647e-09,9.175872151230823,160.53839817416085
HF Dip,0.1929721097706284,269079.790076478,1.613771146487422,122381943254.35754,3.4062160869179095e-06,42.968386389100765,8.05729530879229e-10,10.963811934033806,195.36450976273616
RCA-1,0.8928952649455522,295309.9203867389,10.513142800576608,323739775711.6947,4.318868581466277e-06,21.574604960423347,3.7210474666106653e-09,9.881178495594623,63.812677976864194
Piranha,1.076077950628292,596500.5767905875,16.32982378905004,582026133946.6116,4.782249185466919e-06,17.755810746388526,5.953350062126716e-09,8.151368349088713,900.2347735237329
SC-1,0.9732596880663121,607774.3805976263,6.619522573729769,426932224713.5175,4.615120190818725e-06,20.47175794658537,9.789142743547105e-09,8.713112807610093,487.67471958087054
Piranha,1.1731736809272062,873799.4904951209,13.71288457233819,579509589159.4523,3.1742672648743964e-06,13.128774137097146,1.9223589714166388e-08,9.080061852676197,471.08679465828527
RCA-1,0.5832913339766819,218586.25902452227,6.019462592385567,421932024328.36237,4.508996000273224e-06,31.596946834891472,4.984576418254542e-09,10.940391709494165,488.34883625009735
UV/Ozone,0.27190737871315523,123910.75363670068,0.4892188320628255,37904930709.76121,1.170752345484676e-06,46.46628312275463,1.8282538504557997e-10,12.755956414923194,22.795871213947038
RCA-1,0.7338616051561113,277571.56038523925,7.270612911216629,312536308421.7891,4.462817198183103e-06,32.79723565594539,3.471712152187114e-09,8.849766820958738,504.6797772153707
RCA-1,0.6965826223175094,284366.6237134469,5.470809123597967,368554654041.51526,3.6048045232944547e-06,30.11709326737953,1.7870670825043347e-09,10.129591612147054,380.25574761738756
RCA-1,0.47580305212561685,322460.01869289926,8.805528012191616,242947842461.13666,4.651552129193449e-06,42.1900056872896,3.818591165212889e-09,11.547839095283784,160.90604914845375
RCA-1,1.0241496175868106,367330.5011258909,7.501082839678102,303959598532.00726,4.395069421024765e-06,35.14651572050342,1.8587531827330946e-09,9.834477059068822,432.0268368121173
HF Dip,0.5404274206616814,237600.53084467398,2.273494251957729,181529514799.2262,3.044047335800474e-06,38.06335732469714,1.0558087620543419e-09,10.964360918574632,209.2072826837528
UV/Ozone,0.26766384251058795,163619.30673740574,0.3394010516025071,151115160154.16867,2.753937957784053e-06,40.76658303753192,1.3293887782365543e-10,12.642986280550806,15.347989084585414
Piranha,1.0232129935839842,645158.139308136,13.478021801462507,716978242855.1953,5.557783786718196e-06,7.575813529520223,2.0301280219067778e-08,7.506586615221922,611.0413526841714
HF Dip,0.2284130057454758,113207.91802619673,2.4001489746700138,181453133313.69748,2.8599200030737844e-06,52.12904830843394,1.2738004427436762e-09,11.259577500896771,161.36494441497885
RCA-1,0.7623351296844948,178548.8769527934,8.499536668412325,349544989135.78827,5.481016092965085e-06,25.252389334830042,4.5735442049632355e-09,10.053829357951004,312.46798309849447
UV/Ozone,0.3821334607195599,160629.4586106551,0.40755634406827423,164206713680.0621,1.923395414447775e-06,59.95779358778484,1.0502926253332528e-10,11.824711751325772,73.28347707281182
Piranha,1.7453922344151818,796046.3149621637,15.080555702958318,335351192809.02496,6.431369503121159e-06,11.983465675630706,1.3345972200918498e-08,7.036479593673965,818.5333736123829
RCA-1,0.8202584942418332,370066.62092698645,7.769785063025546,336593248497.67926,3.228310389013017e-06,23.7389667533798,4.779221401946225e-09,9.156297228811988,423.03717559870216
UV/Ozone,0.02593919471152517,195270.48902936478,0.4463490506690181,35107243973.08734,2.298026445797469e-06,41.34624568205697,1.0070558994114626e-14,12.128228875373306,51.26357292267039
SC-1,1.024172567541014,478458.0445093352,11.442283429466809,670518671966.401,3.7597412011245296e-06,19.18093037442395,1.4747804637695631e-08,9.152973967032127,642.2802856744497
UV/Ozone,0.2724329465439443,64513.60170765559,0.8477745354909022,149719719565.77496,2.659568438150788e-06,41.17581181450082,1.5642970322572843e-10,12.248000473171981,73.14217846030536
RCA-1,0.9544158243174151,308578.8391362748,7.662094141816633,347389548437.2399,3.694307945796604e-06,27.87908948554328,2.4523020060101104e-09,10.67061151880433,36.348795173334906
UV/Ozone,0.2954296039339765,111025.38278785866,0.2940129433382047,82502831770.54477,2.5501421691101866e-06,62.98021972326221,2.34811202628179e-10,11.963037666859792,30.24341099584989
Piranha,1.0714415085150026,664416.9780331969,14.055101960445452,362334330104.7069,2.8528280056919216e-06,17.0790884831019,2.005600004559856e-08,4.527656098215349,317.619839446655
Piranha,1.6148650837073646,583588.9333258698,17.169339850827466,487348571145.8421,4.544960516190266e-06,21.69458991489187,3.18523507054632e-08,6.5875855352433055,921.5321778433052
RCA-1,0.9307660235660911,338804.7155009766,9.172414261684265,378362527743.60645,3.1983531221840642e-06,13.600399051954064,7.516052868502565e-09,9.31532468448792,309.5516757072036
HF Dip,0.21564957137280766,251843.13802985888,0.8801979706691316,224089943305.41724,3.734922338516196e-06,40.453992744405035,4.881243307183042e-10,10.59019815700556,129.06836434312794
HF Dip,0.47813062594520683,188880.2217984021,2.097710112879936,289302976225.7291,3.1949061401949056e-06,31.683003736106613,9.40234287104061e-10,10.787669759426313,41.22423685800052
HF Dip,0.6417654321545943,162085.77451968996,2.0819642862262935,205779281355.27182,3.5654808715322363e-06,38.12683677635257,7.2878968737422e-10,11.908492053455769,39.13390537129442
Piranha,1.2050835454263107,570506.688722895,12.598973691277033,608045904285.3403,4.285514017115039e-06,9.44295612285965,1.6737995710424677e-08,9.827550261644058,731.7770836141087
Piranha,1.3026175726093427,559728.3573202391,4.342369496358275,608788268298.9546,6.899625759591133e-06,15.344553200786631,9.576590436853446e-09,8.185920532929059,523.4750402276736
SC-1,1.1803881634462887,688017.2779885494,12.952693237706184,642654118733.7568,3.847153258801801e-06,27.277839347928328,1.190352352393444e-08,8.794523318846718,671.8229150448543
UV/Ozone,0.36388734982861554,153069.33417023625,0.34528264600474057,65199228119.97204,1.7938217800065189e-06,31.896930297248463,1.7654133988771263e-10,11.983374453394735,47.84053886601757
UV/Ozone,0.3068652978295755,76025.85371513714,0.33170866573986135,93282687536.81017,1.6213751642381683e-06,51.63389801346915,5.300972831294972e-11,12.278172078676615,6.134890481834773
HF Dip,0.52408602429541,229893.57905402433,2.5513772777417567,262296666905.6381,3.545072092799123e-06,56.40615787675262,1.9010025303200906e-09,10.300933650299875,52.51236463896558
UV/Ozone,0.44789162727767695,57669.60138277836,0.4824059379506713,92864880129.77144,1.9545220102157525e-06,59.88025255883265,2.102064026045718e-11,12.693626099760356,25.64803491566102
SC-1,0.9887733959102486,499861.49572649045,7.938102888530009,488252545358.18884,5.4661664260340315e-06,18.148787796478285,7.730979794739995e-09,9.403264540163248,316.39904603619095
Piranha,1.263124156769218,721063.3161596039,16.557777929877243,604078158298.2432,5.000671224444361e-06,20.154935588318995,1.8968868946419883e-08,8.646605220843727,1094.642530992802
HF Dip,0.5414949153835196,233998.2157018258,1.1200863901447449,124641843162.64465,3.5995967830159624e-06,40.281177386108595,1.2033895955662923e-09,11.164733568175093,81.63961026451504
HF Dip,0.5668131359051445,177757.75980677278,1.5271921022218544,144035545352.33734,2.242158990538635e-06,43.167423648477524,1.039158458165051e-09,10.686284246123504,98.05296578156896
UV/Ozone,0.23124320466801712,163624.0161112622,0.6373757655618051,182109758793.3683,1.728106526272048e-06,55.688980937136265,6.71674809591539e-11,12.416600241824595,19.513879224767294
UV/Ozone,0.33900593946646157,70429.86660959446,0.7248838369020736,137769784783.16693,2.433703705677459e-06,43.43536325028469,4.172772526373512e-11,13.058395510741837,1.6736478965019899
Piranha,1.4782995890477928,699337.0007528897,6.802113540403414,802070694979.8257,7.538846902316984e-06,13.625239105022208,1.3055701281974468e-08,7.269299588444149,349.45419482382636
HF Dip,0.43867897739634165,230337.02640708588,1.6582916634687839,147410536104.70367,2.9966312028346173e-06,50.26593641141805,7.09682585589591e-10,9.787027757421159,205.99674272302
UV/Ozone,0.22113307454906336,154731.91873560456,0.5469643051897464,206607670528.5222,2.468222862915558e-06,49.6490482313033,1.632538919044383e-10,12.10574850636594,28.85235942477665
Piranha,1.3699937110612757,536543.4494113363,16.91053163466459,671117543824.8488,7.912445760416494e-06,11.773513121633332,2.4997801997241243e-08,8.058228836741675,284.6606530974847
Piranha,1.0005188439762913,888007.4730535763,16.477839649198785,483770447510.5759,7.479874474724077e-06,11.447713460575212,1.672949196432951e-08,8.730234849595249,383.30260793710016
HF Dip,0.4320571190772897,237147.5611861821,1.4507289364947438,235257673847.30753,3.86008686886773e-06,32.73623909684895,9.952367802467735e-10,10.969001695625721,269.96144590027694
UV/Ozone,0.1822371037517369,42990.18495325192,0.8509972307484117,93350578884.5204,1.6171489027609567e-06,55.55786964082873,1.0051746572831497e-10,12.360016879670827,4.727699678134897
HF Dip,0.5364324685354401,245045.68411665587,2.081059143816771,237434026634.28723,3.5102788219020785e-06,45.5314788644174,1.0442907458898807e-09,11.754535233253561,148.2379907751586
UV/Ozone,0.367057045031091,64624.71512447116,0.507953346917299,21650264456.919876,1.7743484814487368e-06,52.65687974966236,1.3615502468688992e-10,12.012306062623956,71.59951190429496
RCA-1,0.6345640680566946,282812.45612973906,9.350118214800892,306398778786.54285,4.602203164932944e-06,19.942453061972635,5.579702361114842e-09,9.74881197135188,229.22390531302474
HF Dip,0.5260618708626892,109433.24609541919,2.1505346502012386,222550819172.46667,2.591174318835177e-06,45.0447849875533,1.6764762015162022e-09,10.952037119545265,112.67512853321051
UV/Ozone,0.3584712360830696,126452.26191672159,0.5845257243417652,32010963724.80932,1.979299594221016e-06,42.42129139574834,9.74957952857589e-11,11.551299536549084,89.3741110142299
RCA-1,0.785712204621168,364460.67677670164,3.344104877136279,441054989454.3176,3.037942682489594e-06,21.627831805065966,3.3474587081020947e-09,9.486948314023387,24.26343623344593
RCA-1,0.7845731737670287,286356.5743768465,9.628103550632652,258388297176.69232,5.547681633007236e-06,29.582434268362498,2.885028688489754e-09,9.873528015398659,264.2382723145439
HF Dip,0.8133047709652184,282661.6291502072,2.1336360504227474,242928239874.6452,2.840536623327303e-06,40.558002169147194,8.932335000849611e-10,10.316327267896257,179.7653360761476
UV/Ozone,0.4537086265417373,168549.45031455607,0.3980313515723042,116243480789.8093,2.4985589903958797e-06,50.306018243385175,9.651792107765322e-11,12.025787471384945,76.01829886425284
HF Dip,0.5338595303437339,81200.97087725477,2.0352937549767285,201899108940.5436,2.809915232590629e-06,34.101373854167136,1.3236834331490252e-09,10.569357439285948,181.60590284856443
RCA-1,0.8422605088107907,296205.5669041726,6.507857617177738,189332050184.60004,3.770087592735124e-06,15.01482713877417,2.987493954994204e-09,9.830269189122825,117.43397993347034
HF Dip,0.37012873508768346,162764.8235573858,1.4145866203133104,246491767768.30383,3.6562907086392628e-06,36.765026356166565,6.733300979960069e-10,10.023769290186099,212.5953317622386
Piranha,1.4609877981754364,511572.59381252335,13.93829660481221,563553453330.1998,4.141389258398678e-06,12.25580703315418,1.9075258271335457e-08,5.528892594618677,589.7336812595977
UV/Ozone,0.24969887965635926,67658.21338438467,0.643721543840288,52114924576.62392,1.679495419266837e-06,62.66041212932907,1.2145225008369256e-10,11.495159795662122,65.41838736422137
RCA-1,0.7701852936986239,162634.03416725798,10.260993640548907,347751690658.94556,4.37073256449577e-06,19.537653620944702,3.5872409788286357e-09,9.036106155015455,296.6686381047275
UV/Ozone,0.33854157050635775,109096.88027839884,0.8089854943588104,182533780340.22302,2.4489783600373262e-06,59.42505929593423,1.4398811040906273e-10,11.673214819780277,54.44719922472071
UV/Ozone,0.32145750378843596,170980.16534170526,0.31811686058565614,129545265128.76509,2.1032307087144296e-06,52.33268845396526,1.1353424294216689e-10,11.87779630199895,63.4883783683177
SC-1,1.1610446184172691,679832.8195568101,8.490291699024565,539157851033.6832,6.040661150161511e-06,15.959431028832661,1.5444242136625644e-08,7.349865887389092,202.44972606734564
HF Dip,0.6076152402439827,239208.05310836522,2.6073555497624317,177778136176.61884,2.9457951916152215e-06,41.255467987776434,8.993026717322617e-10,11.014383028777516,201.25474269845185
UV/Ozone,0.45927707544174834,87071.36841616144,0.561666249191869,31095826646.796143,1.8440119460418934e-06,41.59709604520694,4.965841238505081e-11,12.840788358133663,26.231400145815652
RCA-1,0.7202591137982818,199099.03181072188,8.923957653132586,198673469283.46844,3.1648661793291365e-06,29.719817461580032,6.308983985557887e-09,10.192451461077686,362.5646787471428
HF Dip,0.476281833064513,220519.32942755343,1.8762924759824824,295523500438.4336,3.3377519994905884e-06,40.63741766066511,1.3297545354500178e-09,10.790274103972974,72.00152273490866
UV/Ozone,0.4930501351168871,100611.59918194087,0.8138519229071809,134521451219.15245,2.398336054182336e-06,43.420739074632046,1.4844413192815255e-10,12.112790831784402,91.67435947033782
UV/Ozone,0.22518050359953856,56203.30690180241,0.5299658769019558,146026184737.67914,1.8641127236483726e-06,46.55257832246873,9.142365318799567e-11,12.295248641397599,37.146342046218116
RCA-1,0.4795549631189898,277345.1299390761,7.860280489703187,338670139790.229,4.7973915712214195e-06,25.601584335331545,1.5005744507673205e-09,10.50256420352181,456.84389182325583
UV/Ozone,0.22005776004569033,112039.37548709693,0.5578241010557624,120643541022.30873,1.9008005515899771e-06,50.941923003101465,4.2619452757843236e-11,11.820942962260071,66.67888039129394
HF Dip,0.6070968664797837,214677.1766595772,2.7112423405406005,69091940734.9829,3.3046711214574626e-06,37.936574754753885,1.1480769504791523e-09,12.30429850505157,76.55335226437921
Piranha,1.3351933963250975,481830.6843539716,11.80270371940971,628684032149.6118,4.799603581255554e-06,21.69594282804284,2.096935560342901e-08,9.876085694034716,402.3692445417307
HF Dip,0.39112398541696075,233715.1098347061,0.6848762052199815,174555784612.56805,4.2945186896581874e-06,49.744778664447736,1.2475752878822068e-09,11.959663953434683,17.87149142099983
SC-1,0.9586110578885418,432190.45392137533,12.26197440093544,606531549209.7994,5.9853175089398674e-06,23.834598348305995,1.2013127655650176e-08,7.224112000038171,833.8501612753937
UV/Ozone,0.33019892103575527,133620.91876776994,0.6245923454407455,117741181126.42143,2.7164334839166696e-06,46.73667397954342,1.8638067427901872e-10,12.315777027235383,73.5122542908461
RCA-1,0.761527937430701,312634.5584599938,4.9648447490528165,306987659119.25464,4.755354524283388e-06,21.553391135140878,5.2553301989325565e-09,7.630679736778434,616.5449756771338
UV/Ozone,0.35806700395443064,200007.01366086828,0.601292022522615,63800608581.35627,2.0185102940248093e-06,44.00097075443419,1.4372002427898094e-10,12.133505601812121,72.62020108983754
Piranha,1.010584241352845,829285.5712482885,7.256414456022784,535946819836.82715,6.3316384983663995e-06,14.971027396078085,1.1546983147844294e-08,8.209599146652979,884.8790596557442
SC-1,1.2744090421831582,516186.2018784796,14.648251371752318,447062952883.73334,6.441592592860411e-06,20.798190322595488,8.359667103376275e-09,7.854896598778938,545.8772824142319
UV/Ozone,0.34495582973785516,107938.14167766461,0.6771116875247454,49496667750.1608,1.8957732350743465e-06,53.3581243886629,1.1186241036678298e-10,11.934731216395747,88.91407696750545
UV/Ozone,0.2395675386947764,47636.64778861585,0.6990223964051885,141518688082.0121,2.752930639800128e-06,55.13665567099171,1.2238170563657027e-10,12.519486278769321,48.647467734567414
RCA-1,0.6893415036990175,301665.6480981445,7.041405341860205,277391348724.7523,3.2844253799938916e-06,24.969121414235,3.6530712081195106e-09,10.78993401091478,335.9524007098933
Piranha,1.218447997722234,774474.1542153171,17.74284459775194,741601112163.8242,3.824127168243027e-06,10.659736959975978,1.7981256003128532e-08,7.916170339841488,299.31867302199737
HF Dip,0.3422999026794613,337985.54455170955,1.8491770943892856,306838620540.00574,3.5995490213762388e-06,30.07976618600226,1.1699867555611076e-09,10.989179193380226,213.7066088460706
RCA-1,0.6278902563855902,290213.3679820075,8.421229306422706,238305832931.13245,5.19335273848823e-06,25.98289316897024,5.69624615760019e-09,9.190032841235402,496.15582834444933
Piranha,1.1916701792887117,516303.5803120609,12.826762046832012,663725100837.3672,6.286974696784545e-06,20.591585044346942,2.0331028128681392e-08,8.358772947342821,1012.1260025670447
HF Dip,0.3139982972770223,173564.2113785421,1.1196117868004873,256907385625.6584,3.452791364298604e-06,40.02245640850011,6.41176610205846e-10,10.749670215922936,101.8527744302899
UV/Ozone,0.31928639555503857,42149.13595920661,0.6541346108926687,93478013310.83363,2.9109575489302026e-06,49.243495294115775,1.2104591420878283e-10,12.123301093130667,31.2332889467224
RCA-1,0.9488205242777759,477234.05922674946,8.450014346498335,244707534423.80573,3.746060712288175e-06,23.237097840203923,9.774662421366722e-10,9.286246806298163,364.7948297158541
SC-1,0.9446354010452224,612390.5305614439,9.479608308781362,448997046024.4383,6.392518449434273e-06,25.18792833525317,1.0093958958871289e-08,8.406222552221333,97.62393615105822
RCA-1,0.8884555408362086,314209.81213945517,7.8512426530112105,388643536836.957,4.511607721846278e-06,11.802412745980305,5.53005063213307e-09,8.87727828800259,180.36623962126947
UV/Ozone,0.3734371782088791,168749.0766062992,0.6472759898703013,136938056277.87247,2.2207670045234318e-06,57.14584186682464,1.842642307077013e-10,12.828873455961435,61.73258485885873
HF Dip,0.42806130571902895,128300.79168388038,1.7497951663478681,215168210325.14926,2.755191174576062e-06,52.42260992681334,8.427387220983549e-10,10.886447086696316,211.5544142541843
RCA-1,0.8595963904108316,300116.89306999446,11.547875675635812,169045747894.55707,3.5036925733131795e-06,31.021415167042814,6.835509490814182e-09,10.587365239234526,198.1222520012796
RCA-1,0.8674160815138828,170851.0841302317,5.093469664433947,218281304303.6352,4.5901072869814095e-06,32.559990094225874,7.18537556115691e-09,9.36451368418698,410.0580387058968
SC-1,1.0869615915462316,554009.4460524806,12.197272029264628,462477759923.93274,4.708358013648156e-06,11.294885958205493,6.098477967492303e-09,9.271112796446715,709.0046751005381
UV/Ozone,0.35990395263761843,102193.08638398684,0.3952549349132553,97145526320.35016,2.3325978415500022e-06,63.23875009269885,8.984672132063545e-11,11.564612167241561,100.34874597936803
HF Dip,0.5157888761489683,115666.39715648661,1.8251089099442315,321408316986.1984,3.3032321631464057e-06,42.514744095594196,3.6700220880729665e-10,12.570521326207848,36.17640730989258
Piranha,1.6805811888610995,881817.998900566,11.674985198707532,495790267447.41785,6.414332595782556e-06,16.312924510006603,2.6005021741735426e-08,8.14864619181589,737.0890911415378
Piranha,1.8540165647286202,669413.8111760243,9.616534581744311,611624703378.523,4.474928536277489e-06,7.497430478278278,2.20206548735296e-08,6.121334688367462,1071.829694082961
SC-1,0.8542481248788697,550232.824007478,7.41319900074029,516066118981.9773,4.047355047184613e-06,28.04261077974362,7.192106251983896e-09,9.207270746973618,561.5465149358864
Piranha,0.9584807090094163,800942.433638255,10.493830389924103,726955582132.6367,7.066290415276286e-06,8.389427850745609,1.434653968248893e-08,7.717045935174498,883.9969875114616
UV/Ozone,0.2710701118819001,89004.50718257303,0.5576273806175246,128304696903.82256,2.2733780717217855e-06,57.063805514744836,5.889048174800112e-11,11.686699687857724,23.25515329390404
RCA-1,0.7460137140090878,207569.29376238072,4.106400083314536,258348282588.6192,2.582641739973717e-06,24.482911697499546,3.8568678292096204e-09,10.025073607431333,132.85293300547684
Piranha,1.2730080024798867,837431.4607623069,13.385977768027043,692899273178.2579,5.070649237475009e-06,15.41962866034205,2.0803477535692856e-08,7.264849113350078,394.2929189264296
Piranha,0.9568992776618755,861546.528786676,10.130027305368586,496500804033.0319,6.747022968365997e-06,12.475232233012571,2.341075351354566e-08,7.600625882177349,720.1061240294467
RCA-1,0.6547720904139342,188097.47750084638,9.408963829400122,335118451875.22766,4.143409820074274e-06,36.6676055763886,3.5181539364813334e-09,9.138653196787445,551.1583837896901
Piranha,1.0302063083376245,765710.1007708621,10.975614353970098,451734272050.96484,5.378619870364957e-06,14.12819835961195,2.2687821640259774e-08,8.68178621216971,697.1245184196057
HF Dip,0.5042718659463367,153633.68702130788,2.441028299681505,124844399509.80086,2.6482079848733207e-06,36.79651583997332,1.1487244325989974e-09,11.320116752704568,226.98733958514762
UV/Ozone,0.34787966207021914,158274.1057160682,0.547155257017943,119195147434.89064,2.6062363641966954e-06,52.20199312044055,1.1839770320441003e-10,11.130274661715603,50.887791787610816
RCA-1,0.4919486175731465,189912.776406206,8.896984829624028,478631119951.4705,3.516764284956589e-06,23.259655938998737,3.648334343742618e-09,8.713031265232873,250.07679468375488
RCA-1,0.7809825417988224,278760.18252007867,10.340644430519838,302585689068.7047,2.690463900296265e-06,26.412968962871165,9.28766435195907e-09,10.062893444579757,273.04704843704184
SC-1,0.9006363945592804,620055.3488281653,10.056538173756701,462471899345.6581,3.947137094370269e-06,32.3145391289289,1.1383216077964181e-08,9.440598322033944,340.36166046228345
UV/Ozone,0.32181722136279833,24437.320051388044,0.5316060934859037,88242714174.6731,1.4966805702475162e-06,50.20428450846231,1.8174904730052898e-10,12.04853239008673,40.544736487927175
UV/Ozone,0.21605392213743885,87357.68236199369,0.19741221253719404,132697354331.28351,2.5114679119823682e-06,52.0880577998533,1.0187821312108575e-10,12.425192514356933,47.768959557586676
SC-1,0.7249631041365519,550099.2232179947,8.559252895015224,593610755010.9697,5.809180296853163e-06,14.00953559904481,1.2033285437334406e-08,10.201697855667506,529.4868803301944
HF Dip,0.3827042147304957,235249.0359388111,2.357783728545239,234174961169.1834,3.5086544599263928e-06,36.77849052367993,1.3182672266039286e-09,11.923195674160842,126.0077760887446
Piranha,0.9489193219463465,580216.9926121763,6.507829796196419,471870958677.7072,8.113519352903836e-06,18.01638265462497,1.6249835655891972e-08,7.531528767217391,628.1393827266136
SC-1,0.8688909941031284,697824.102253678,8.281223551271385,544599214218.70764,6.771728207672604e-06,24.87345833186777,1.7083554042795638e-08,8.324933463438356,561.809692079891
UV/Ozone,0.5101561476382956,68991.67514648165,0.5312607670568984,70062423277.57402,2.352958802369371e-06,64.85754204299738,1.0084105423551435e-10,11.871396881074775,54.95616640306017
HF Dip,0.5608318588243529,360834.25044614007,1.8995957430021673,140069072234.2779,2.555917925556292e-06,36.041515355377406,1.1904125533752458e-09,9.48935200522712,255.48408144726693
